RouteStartStore;Адрес отправки;RegionDelivery;RouteEndCity;RouteEndStore;Адрес доставки;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Москва;Москва;Хаб_Ozon-Box-791_Летчика Бабушкина;г Москва, ул Лётчика Бабушкина, д 31;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Московская область; ;ЛЮБЕРЦЫ_ХАБ;Московская обл, г Люберцы, рп Октябрьский, ул Ленина, д 47;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Московская область;Долгопрудный;Хаб_Ozon-Box-212_Долгопрудный_Лихачевский;Московская обл, г Долгопрудный, проезд Лихачевский, д 8;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Московская область;Королев;КОРОЛЕВ_ХАБ;Московская обл, г Королев, ул Первомайская, д 13Б;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Московская область;Красногорск;КРАСНОГОРСК_ХАБ;Московская обл, г Красногорск, ул Жуковского, д 7;;
МОСКВА_ХАБ;Город Москва Проезд Анненский Дом 3 Строение 2;Московская область;Реутов;Хаб-Ozon-Box-858_Реутов_Юбилейный;Московская обл, г Реутов, Юбилейный пр-кт, д 37;;
МСК_БЕРЕЖКОВСКИЙ_ХАБ;Город Москва Набережная Бережковская Дом 20 Строение 88;Москва;Москва;Хаб-Ozon-Box-995_Москва_Коштоянца;г Москва, ул Коштоянца, д 21А;;
МСК_ВАРШАВСКИЙ_ХАБ;Город Москва Проезд 1-й Варшавский проезд Дом 2 Строение 9А;Москва;Москва;Хаб_Ozon-Box-463_Липецкая;г Москва, ул Липецкая, д 16/14 к 1;;
МСК_ВАРШАВСКИЙ_ХАБ;Город Москва Проезд 1-й Варшавский проезд Дом 2 Строение 9А;Москва;Москва;Хаб_Ozon-Box-982_Лукинская;г Москва, ул Лукинская, д 5 к 1;;
МСК_ВАРШАВСКИЙ_ХАБ;Город Москва Проезд 1-й Варшавский проезд Дом 2 Строение 9А;Москва;Москва;Хаб-Ozon-Box-632_Ясеневая;г Москва, ул Ясеневая, д 40;;
МСК_ВАРШАВСКИЙ_ХАБ;Город Москва Проезд 1-й Варшавский проезд Дом 2 Строение 9А;Москва;Москва;Хаб-Ozon-Box-681_Москва_Кантемировская;г Москва, ул Кантемировская, д 17 к 1;;
ПОДОЛЬСК_ХАБ_ЛОБАЧЕВА;Город Подольск Улица Лобачева Дом 7/3;Москва;Москва;МО_ВНУКОВСКОЕ_1_МТС;г Москва, поселение Внуковское, ул Лётчика Ульянина, д 5;;
